time,x,y,z
0.401,-0.813568,0.753206,0.260541
0.402,0.0845375,-0.10459,0.0956
0.403,0.0295803,-0.140244,0.0240147
0.404,-0.262305,-1.20227,0.572537
0.405,-0.121592,-0.0393191,-0.0850018
0.406,-0.051492,0.343932,0.0807492
0.407,-0.0338744,0.204268,0.0427695
0.408,0.118947,-0.00390384,0.150151
0.409,-0.423156,-1.44245,1.26644
0.41,0.0121317,0.342513,0.109662
0.411,-0.250609,0.645878,0.214656
0.412,0.0939865,-0.277225,0.263977
0.413,-0.0524819,0.143787,0.00646476
0.414,-0.0160749,0.580245,0.227715
0.415,-0.0539298,0.234626,0.0317608
0.416,0.0492007,-0.302849,0.0941991
0.417,-0.550181,0.911315,0.414658
0.418,0.0062962,-0.372951,0.0538556
0.419,-0.15416,0.580527,0.186892
0.42,-0.0242841,-0.135502,-0.0226816
0.421,-0.05786,0.456177,0.140697
0.422,0.0554687,-0.435501,0.369151
0.423,-0.0720379,-0.317015,0.522559
0.424,0.0297899,0.145008,0.0503509
0.425,-0.00264399,0.531028,0.204839
0.426,-0.145251,-0.150838,0.168153
0.427,-0.200553,0.781013,0.328245
0.428,0.00267666,0.338327,0.102805
0.429,-0.139662,-0.270609,0.4858
0.43,-0.0742098,0.65829,0.26149
0.431,-0.21974,-0.219642,-0.167052
0.432,0.0752675,-0.0277189,0.0713364
0.433,-0.0684974,0.525165,0.174163
0.434,-0.134449,-0.615748,0.818524
0.435,-0.095292,-0.879005,0.45959
0.436,-0.27118,-1.23364,0.814311
0.437,-0.187619,0.613298,0.202823
0.438,-0.291531,-1.22094,0.467645
0.439,0.0822969,-0.136475,0.100075
0.44,-0.453004,-0.648671,-0.292071
0.441,0.09803,0.213236,0.12977
0.442,0.040693,-0.107957,0.03274
0.443,-0.16985,0.615173,0.207953
0.444,-0.115232,0.573343,0.1916
0.445,0.0722523,0.202499,0.0997983
0.446,0.116899,-0.0881868,0.17131
0.447,-0.320668,-1.27018,0.489665
